Date,2454.TW,NVDA,AMD
2020/2/13,401.167358,248.869354,50.93
2020/2/14,398.221191,247.531555,51.049999
2020/2/17,390.855835,249.697983,51.43
2020/2/18,384.963531,252.443451,51.709999
2020/2/19,381.526367,250.067352,50.349998
2020/2/20,386.927643,239.804306,49.259998
2020/2/21,381.035339,247.561493,50.529999
2020/2/24,370.232788,245.135498,47.509998
2020/2/25,371.705872,245.40506,48.779999
2020/2/26,368.268677,236.040497,47
2020/2/27,353.537933,239.934097,48.02
2020/3/2,356.4841,246.722885,49.450001
2020/3/3,365.32254,250.346893,49.84
2020/3/4,363.849457,253.831161,49.32
2020/3/5,378.089172,251.175537,49.73
2020/3/6,371.705872,262.536804,52.259998
2020/3/9,359.921265,267.448669,53.799999
2020/3/10,366.795624,272.091034,53.889999
2020/3/11,356.4841,270.333923,54.529999
2020/3/12,329.96875,289.312592,55.310001
2020/3/13,334.878998,296.081451,56.889999
2020/3/16,314.255951,314.18161,58.900002
2020/3/17,309.836731,308.191467,57.27
2020/3/18,296.088013,293.585571,53.279999
2020/3/19,269.081665,272.829834,49.119999
2020/3/20,295.596985,261.618317,47.57
2020/3/23,302.471344,267.209076,47.490002
2020/3/24,324.076447,252.334732,44.009998
2020/3/25,328.495667,269.786346,45.48
2020/3/26,337.334106,276.139679,47.459999
2020/3/27,333.896942,265.610779,46.75
2020/3/30,330.459778,284.211243,50.110001
2020/3/31,321.621307,273.002991,48.110001
2020/4/1,328.004639,265.76062,48.59
2020/4/6,334.878998,245.182236,43.27
2020/4/7,340.771301,260.805786,45.380001
2020/4/8,343.22641,246.211151,45.700001
2020/4/9,345.190521,216.082809,39.009998
2020/4/10,343.717438,240.587051,43.900002
2020/4/13,345.190521,196.19371,38.709999
2020/4/14,358.939209,217.041824,41.880001
2020/4/15,358.939209,202.606995,39.119999
2020/4/16,355.011017,212.746323,39.82
2020/4/17,361.394348,205.53392,39.610001
2020/4/20,363.358429,212.466629,41.639999
2020/4/21,347.154602,248.918304,46.220001
2020/4/22,339.789246,245.36203,44.630001
2020/4/23,344.699493,256.969818,47.5
2020/4/24,342.244354,252.464569,46.580002
2020/4/27,365.32254,265.311066,47.860001
2020/4/28,368.268677,263.323181,45.48
2020/4/29,390.855835,242.814728,43.66
2020/4/30,407.55069,255.201691,44.490002
2020/5/4,392.328918,243.653854,42.59
2020/5/5,394.292999,268.118073,47.52
2020/5/6,400.676331,258.757935,47.560001
2020/5/7,403.622467,266.669647,48.790001
2020/5/8,404.113495,262.673859,48.380001
2020/5/11,402.640442,269.566589,50.939999
2020/5/12,399.694275,283.651794,54.93
2020/5/13,412.460938,280.545044,54.990002
2020/5/14,403.622467,294.390503,56.950001
2020/5/15,403.622467,292.013,56.599998
2020/5/18,432.592957,286.748535,56.970001
2020/5/19,453.707031,269.22699,52.919998
2020/5/20,461.563416,285.849487,55.919998
2020/5/21,456.16214,283.711731,55.900002
2020/5/22,434.06601,289.285889,56.18
2020/5/25,451.74292,296.767975,56.490002
2020/5/26,451.74292,291.053955,55.509998
2020/5/27,456.16214,298.146545,53.66
2020/5/28,451.74292,291.973053,52.389999
2020/5/29,454.689056,282.483002,49.880001
2020/6/1,453.216003,290.98407,52.560001
2020/6/2,476.294159,293.431488,52.189999
2020/6/3,481.204407,297.477234,52.16
2020/6/4,481.204407,304.549805,51.950001
2020/6/5,485.132599,312.171783,53.189999
2020/6/8,485.623627,322.281158,55.740002
2020/6/9,488.569794,311.772217,53.759998
2020/6/10,491.024902,310.873199,52.18
2020/6/11,487.587738,320.88266,54.509998
2020/6/12,483.659546,339.273315,54.200001
2020/6/15,483.659546,349.642426,54.59
2020/6/16,500.845398,351.850098,55.470001
2020/6/17,500.845398,358.423157,56.389999
2020/6/18,503.791565,350.641388,54.650002
2020/6/19,536.199219,360.670776,55.169998
2020/6/22,565.660706,348.34375,53.189999
2020/6/23,563.696594,340.651855,52.740002
2020/6/24,569.588867,339.123474,51.740002
2020/6/29,554.858154,354.647156,53.799999
2020/6/30,568.606873,351.880066,53.630001
2020/7/1,566.642761,352.639252,53.540001
2020/7/2,563.696594,350.411591,52.73
2020/7/3,574.499146,350.451569,52.630001
2020/7/6,589,356.587921,53.099998
2020/7/7,618,351.990692,52.970001
2020/7/8,661,361.624939,56.389999
2020/7/9,651,374.447327,57.439999
2020/7/10,616,351.6409,52.830002
2020/7/13,629,357.087616,53.5
2020/7/14,611,366.731934,54.68
2020/7/15,609,362.524414,54.459999
2020/7/16,599,369.220428,54.549999
2020/7/17,607,368.500854,54.040001
2020/7/20,601,370.229828,54.23
2020/7/21,637,380.843506,54.759998
2020/7/22,664,377.77533,53.990002
2020/7/23,677,369.200439,52.389999
2020/7/24,675,379.37439,51.93
2020/7/27,728,365.982361,50.099998
2020/7/28,680,367.781281,50.279999
2020/7/29,682,379.684204,52.610001
2020/7/30,683,380.97345,52.580002
2020/7/31,701,384.261475,52.34
2020/8/3,696,393.33609,53.400002
2020/8/4,732,394.635315,52.93
2020/8/5,730,408.397125,53.43
2020/8/6,732,420.110138,57.259998
2020/8/7,705,418.920898,55.880001
2020/8/10,706,401.851013,53.59
2020/8/11,693,414.833282,54.720001
2020/8/12,680,408.846863,55.34
2020/8/13,684,405.149078,54.919998
2020/8/14,680,407.817474,55.040001
2020/8/17,685,420.180084,57.459999
2020/8/18,617,412.89447,57
2020/8/19,609,417.301819,61.790001
2020/8/20,565,404.949188,59.57
2020/8/21,604,407.537628,69.400002
2020/8/24,585,416.612213,68.970001
2020/8/25,589,408.377136,67.610001
2020/8/26,578,418.371185,76.089996
2020/8/27,558,424.307648,78.199997
2020/8/28,574,424.337646,77.43
2020/8/31,556,440.148254,77.669998
2020/9/1,576,448.843048,85.040001
2020/9/2,596,451.20166,85.309998
